W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.55,62.05,-10.0664959,-10.03746818,2159.107912,5.608823034,141.0541681,-78.71099179,-81.62959271
0.55,62.1,-10.12452303,-10.03559184,2161.336139,5.612135733,141.0360839,-83.26160185,-81.44506042
0.55,62.15,-10.1969737,-10.00359207,2163.563885,5.615450349,141.0181007,-87.80820107,-81.25250974
0.55,62.2,-10.28251676,-9.941927198,2165.791152,5.618766875,141.0002181,-92.35262044,-81.08184098
0.55,62.25,-10.38024729,-9.851756582,2168.017941,5.622085304,140.9824358,-96.89855423,-80.96116087
0.55,62.3,-10.48972444,-9.734849665,2170.244253,5.625405629,140.9647534,-101.4505786,-80.91607663
0.55,62.35,-10.61096995,-9.593478355,2172.47009,5.628727842,140.9471704,-106.0131807,-80.96917142
0.55,62.4,-10.7444303,-9.430302135,2174.695454,5.632051936,140.9296865,-110.589853,-81.13967765
0.55,62.45,-10.89090604,-9.248254976,2176.920346,5.635377905,140.9123012,-115.1823004,-81.44333983
0.55,62.5,-11.05145321,-9.050441516,2179.144767,5.638705742,140.8950142,-119.789808,-81.89243937
0.55,62.55,-11.22726291,-8.84004745,2181.368719,5.642035438,140.8778251,-124.4088096,-82.49594172
0.55,62.6,-11.41952747,-8.620266312,2183.592204,5.645366989,140.8607336,-129.0326967,-83.25972239
0.55,62.65,-11.62930351,-8.394242502,2185.815223,5.648700385,140.8437391,-133.6518876,-84.18683196
0.55,62.7,-11.85738383,-8.165028587,2188.037777,5.652035621,140.8268414,-138.2541599,-85.27776794
0.55,62.75,-12.1041904,-7.9355539,2190.259867,5.655372691,140.81004,-142.8252201,-86.53073142
0.55,62.8,-12.36969906,-7.708601088,2192.481496,5.658711586,140.7933346,-147.3494557,-87.94185673
0.55,62.85,-12.6534031,-7.486787421,2194.702665,5.6620523,140.7767248,-151.8107893,-89.50541145
0.55,62.9,-12.95431795,-7.272548231,2196.923375,5.665394827,140.7602103,-156.1935453,-91.21397109
0.55,62.95,-13.27102387,-7.068120646,2199.143628,5.66873916,140.7437906,-160.4832377,-93.0585779
0.55,63,-13.60173883,-6.875526653,2201.363424,5.672085292,140.7274654,-164.6672087,-95.02889535
0.6,57,-15.22397385,-5.731572726,1983.858807,5.151782637,128.5763572,-152.3538962,50.26485913
0.6,57.05,-15.14864588,-5.811943111,1986.084562,5.155093109,128.5570173,-155.5608549,48.73408339
0.6,57.1,-15.08122818,-5.885313015,1988.309796,5.158405644,128.5377857,-158.833993,47.22258977
0.6,57.15,-15.02245468,-5.952085383,1990.53451,5.161720236,128.5186619,-162.168443,45.72860241
0.6,57.2,-14.97300615,-6.012634718,1992.758707,5.165036874,128.4996456,-165.5584957,44.25041515
